location,count,xLocation,yLocation,norm_count
POINT (-468.34053784704383 4186.408745290582),1867,-468.34053784704383,4186.408745290582,1.0
POINT (-659.2426147121397 4441.316721383514),1656,-659.2426147121397,4441.316721383514,0.8869239013933548
POINT (-352.50884896803706 5294.04368135506),1560,-352.50884896803706,5294.04368135506,0.8354769560557342
POINT (-56.31352508268587 4740.277986216306),1478,-56.31352508268587,4740.277986216306,0.7915326902465166
POINT (361.8254056349728 4702.987428661796),1460,361.8254056349728,4702.987428661796,0.7818863879957128
POINT (554.3742530220767 4476.436116406113),1460,554.3742530220767,4476.436116406113,0.7818863879957128
POINT (-49.330318444446 3986.322344996892),1334,-49.330318444446,3986.322344996892,0.7143622722400857
POINT (-690.2127774900986 5386.750790644787),1278,-690.2127774900986,5386.750790644787,0.6843515541264737
POINT (-879.6508261724598 5658.319836675627),1218,-879.6508261724598,5658.319836675627,0.6521972132904609
POINT (-887.1720285777634 4641.882721556699),1203,-887.1720285777634,4641.882721556699,0.6441586280814576
POINT (-957.8399334071364 3676.695910802657),1189,-957.8399334071364,3676.695910802657,0.6366559485530546
POINT (-862.4203644981228 5060.750706290245),1169,-862.4203644981228,5060.750706290245,0.6259378349410504
POINT (-862.7776183227625 5480.509745060236),1156,-862.7776183227625,5480.509745060236,0.6189710610932476
POINT (-1165.4396742532404 5802.140280316832),1052,-1165.4396742532404,5802.140280316832,0.5632368703108253
POINT (-1291.672228039491 3765.25407998194),1035,-1291.672228039491,3765.25407998194,0.5541264737406216
POINT (-133.37526873220492 4111.11260730294),1030,-133.37526873220492,4111.11260730294,0.5514469453376206
POINT (188.61397305386186 4195.410110193234),1023,188.61397305386186,4195.410110193234,0.5476956055734191
POINT (-1585.2080359726933 5801.3023543844265),1005,-1585.2080359726933,5801.3023543844265,0.5380493033226152
POINT (349.0352898431787 4478.16622847438),998,349.0352898431787,4478.16622847438,0.5342979635584137
POINT (-986.817947566211 5800.428775243561),954,-986.817947566211,5800.428775243561,0.5107181136120043
POINT (-1406.699880965383 5800.326887334224),852,-1406.699880965383,5800.326887334224,0.45605573419078244
