location,count,xLocation,yLocation,norm_count
POINT (-468.34053784704383 4186.408745290582),1417,-468.34053784704383,4186.408745290582,1.0
POINT (-659.2426147121397 4441.316721383514),1301,-659.2426147121397,4441.316721383514,0.9180790960451978
POINT (-352.50884896803706 5294.04368135506),1254,-352.50884896803706,5294.04368135506,0.8848870056497176
POINT (-56.31352508268587 4740.277986216306),1075,-56.31352508268587,4740.277986216306,0.7584745762711864
POINT (361.8254056349728 4702.987428661796),1068,361.8254056349728,4702.987428661796,0.7535310734463276
POINT (554.3742530220767 4476.436116406113),1067,554.3742530220767,4476.436116406113,0.7528248587570622
POINT (-49.330318444446 3986.322344996892),1046,-49.330318444446,3986.322344996892,0.7379943502824858
POINT (-690.2127774900986 5386.750790644787),1037,-690.2127774900986,5386.750790644787,0.731638418079096
POINT (-879.6508261724598 5658.319836675627),994,-879.6508261724598,5658.319836675627,0.701271186440678
POINT (-887.1720285777634 4641.882721556699),932,-887.1720285777634,4641.882721556699,0.6574858757062146
POINT (-862.4203644981228 5060.750706290245),916,-862.4203644981228,5060.750706290245,0.6461864406779662
POINT (-862.7776183227625 5480.509745060236),910,-862.7776183227625,5480.509745060236,0.6419491525423728
POINT (-1165.4396742532404 5802.140280316832),886,-1165.4396742532404,5802.140280316832,0.625
POINT (-1585.2080359726933 5801.3023543844265),863,-1585.2080359726933,5801.3023543844265,0.6087570621468926
POINT (-957.8399334071364 3676.695910802657),820,-957.8399334071364,3676.695910802657,0.5783898305084746
POINT (-133.37526873220492 4111.11260730294),802,-133.37526873220492,4111.11260730294,0.565677966101695
POINT (188.61397305386186 4195.410110193234),800,188.61397305386186,4195.410110193234,0.5642655367231638
POINT (21.75570206567331 1659.4249457825504),771,21.75570206567331,1659.4249457825504,0.5437853107344632
POINT (349.0352898431787 4478.16622847438),771,349.0352898431787,4478.16622847438,0.5437853107344632
POINT (-2003.493736172495 5827.4979723630695),722,-2003.493736172495,5827.4979723630695,0.509180790960452
POINT (-2841.796171433214 5863.950167970535),714,-2841.796171433214,5863.950167970535,0.5035310734463276
POINT (-2422.1170133244377 5851.209747752188),714,-2422.1170133244377,5851.209747752188,0.5035310734463276
POINT (-1291.672228039491 3765.25407998194),711,-1291.672228039491,3765.25407998194,0.501412429378531
POINT (-986.817947566211 5800.428775243561),706,-986.817947566211,5800.428775243561,0.4978813559322034
POINT (401.00364888735993 4632.191656083583),656,401.00364888735993,4632.191656083583,0.4625706214689266
POINT (-1935.3150909165438 3673.049436437234),636,-1935.3150909165438,3673.049436437234,0.4484463276836158
POINT (-1288.973858577208 3711.692127221675),634,-1288.973858577208,3711.692127221675,0.4470338983050847
POINT (-1406.699880965383 5800.326887334224),627,-1406.699880965383,5800.326887334224,0.442090395480226
POINT (-485.3628417410773 4408.495089625616),593,-485.3628417410773,4408.495089625616,0.4180790960451977
POINT (580.3965404548777 4280.8677768141115),590,580.3965404548777,4280.8677768141115,0.4159604519774011
POINT (-1969.2007859372088 3254.780799960871),589,-1969.2007859372088,3254.780799960871,0.4152542372881356
POINT (-397.09115213460416 1661.086640136248),575,-397.09115213460416,1661.086640136248,0.4053672316384181
POINT (-3761.2580878246877 6340.380830873932),572,-3761.2580878246877,6340.380830873932,0.4032485875706215
POINT (-1825.0259033780803 5822.75013071491),571,-1825.0259033780803,5822.75013071491,0.4025423728813559
POINT (53.71315310962717 4727.81027677455),567,53.71315310962717,4727.81027677455,0.3997175141242938
POINT (-2244.8206277789714 5829.658485878773),562,-2244.8206277789714,5829.658485878773,0.3961864406779661
POINT (-2663.17882970922 5861.574711924999),558,-2663.17882970922,5861.574711924999,0.393361581920904
POINT (-3993.4642271606363 6595.690478769158),556,-3993.4642271606363,6595.690478769158,0.3919491525423729
POINT (1670.3113113783324 4060.9271766049796),552,1670.3113113783324,4060.9271766049796,0.3891242937853107
POINT (533.243532438734 1067.052320700562),548,533.243532438734,1067.052320700562,0.3862994350282486
POINT (-452.16093775275687 3989.9925773844875),547,-452.16093775275687,3989.9925773844875,0.3855932203389831
POINT (-3494.9691199786844 6593.7502613957295),544,-3494.9691199786844,6593.7502613957295,0.3834745762711864
POINT (-748.3500620756813 3878.175006672024),528,-748.3500620756813,3878.175006672024,0.3721751412429379
POINT (-981.8489177720494 3675.0295325990232),525,-981.8489177720494,3675.0295325990232,0.3700564971751412
POINT (-1932.9290522785125 3750.616604776836),514,-1932.9290522785125,3750.616604776836,0.3622881355932203
POINT (-1903.4033494935613 3804.2957256484056),511,-1903.4033494935613,3804.2957256484056,0.3601694915254237
POINT (-876.8792504162421 3764.4535842123837),506,-876.8792504162421,3764.4535842123837,0.356638418079096
POINT (-882.5390248807071 4182.758386764306),506,-882.5390248807071,4182.758386764306,0.356638418079096
POINT (620.3108823479811 4079.478052167119),492,620.3108823479811,4079.478052167119,0.3467514124293785
POINT (-230.4186780140786 4884.415495659691),483,-230.4186780140786,4884.415495659691,0.3403954802259887
POINT (-1962.8376431459897 3017.7310863016846),482,-1962.8376431459897,3017.7310863016846,0.3396892655367232
POINT (-1618.3796090505787 3842.5773866408404),478,-1618.3796090505787,3842.5773866408404,0.336864406779661
POINT (-1965.3045643568523 3332.2915840158835),465,-1965.3045643568523,3332.2915840158835,0.327683615819209
POINT (-3754.619680138808 5982.480376595213),458,-3754.619680138808,5982.480376595213,0.3227401129943503
POINT (-1983.2858911218163 2836.7116466770053),448,-1983.2858911218163,2836.7116466770053,0.3156779661016949
POINT (-3797.2552354396075 5739.418082857449),439,-3797.2552354396075,5739.418082857449,0.3093220338983051
POINT (-3338.243918773334 6223.175158466308),438,-3338.243918773334,6223.175158466308,0.3086158192090395
POINT (-1955.4103280562817 3409.854168154911),437,-1955.4103280562817,3409.854168154911,0.307909604519774
POINT (-1292.791831074787 3789.294690319397),436,-1292.791831074787,3789.294690319397,0.3072033898305085
POINT (-3031.131731994512 6121.781528191876),431,-3031.131731994512,6121.781528191876,0.3036723163841808
POINT (-1934.2636089216926 3697.0051393924923),431,-1934.2636089216926,3697.0051393924923,0.3036723163841808
POINT (-3427.5190744408674 5862.124763739154),426,-3427.5190744408674,5862.124763739154,0.3001412429378531
POINT (624.7941609893063 3865.653540506299),419,624.7941609893063,3865.653540506299,0.2951977401129944
POINT (-445.58215795302203 3943.0740617322763),415,-445.58215795302203,3943.0740617322763,0.2923728813559322
POINT (-381.97758001224605 4192.367000423337),406,-381.97758001224605,4192.367000423337,0.2860169491525424
POINT (827.6022596364746 3665.0492940803483),406,827.6022596364746,3665.0492940803483,0.2860169491525424
POINT (-811.824901059456 1602.2205955346656),401,-811.824901059456,1602.2205955346656,0.2824858757062147
POINT (1250.9156730394975 4062.330557102797),396,1250.9156730394975,4062.330557102797,0.278954802259887
