location,count,xLocation,yLocation,norm_count
POINT (21.75570206567331 1659.4249457825504),833,21.75570206567331,1659.4249457825504,1.0
POINT (-468.34053784704383 4186.408745290582),813,-468.34053784704383,4186.408745290582,0.9759615384615384
POINT (-352.50884896803706 5294.04368135506),738,-352.50884896803706,5294.04368135506,0.8858173076923077
POINT (-659.2426147121397 4441.316721383514),704,-659.2426147121397,4441.316721383514,0.8449519230769231
POINT (554.3742530220767 4476.436116406113),643,554.3742530220767,4476.436116406113,0.7716346153846154
POINT (361.8254056349728 4702.987428661796),643,361.8254056349728,4702.987428661796,0.7716346153846154
POINT (-56.31352508268587 4740.277986216306),643,-56.31352508268587,4740.277986216306,0.7716346153846154
POINT (-397.09115213460416 1661.086640136248),619,-397.09115213460416,1661.086640136248,0.7427884615384616
POINT (-690.2127774900986 5386.750790644787),603,-690.2127774900986,5386.750790644787,0.7235576923076923
POINT (-1962.8376431459897 3017.7310863016846),603,-1962.8376431459897,3017.7310863016846,0.7235576923076923
POINT (-879.6508261724598 5658.319836675627),578,-879.6508261724598,5658.319836675627,0.6935096153846154
POINT (-49.330318444446 3986.322344996892),532,-49.330318444446,3986.322344996892,0.6382211538461539
POINT (-887.1720285777634 4641.882721556699),517,-887.1720285777634,4641.882721556699,0.6201923076923077
POINT (-1165.4396742532404 5802.140280316832),515,-1165.4396742532404,5802.140280316832,0.6177884615384616
POINT (-862.4203644981228 5060.750706290245),505,-862.4203644981228,5060.750706290245,0.6057692307692307
POINT (401.00364888735993 4632.191656083583),504,401.00364888735993,4632.191656083583,0.6045673076923077
POINT (-862.7776183227625 5480.509745060236),503,-862.7776183227625,5480.509745060236,0.6033653846153846
POINT (-1585.2080359726933 5801.3023543844265),502,-1585.2080359726933,5801.3023543844265,0.6021634615384616
POINT (-1288.973858577208 3711.692127221675),467,-1288.973858577208,3711.692127221675,0.5600961538461539
POINT (-957.8399334071364 3676.695910802657),459,-957.8399334071364,3676.695910802657,0.5504807692307693
POINT (-485.3628417410773 4408.495089625616),459,-485.3628417410773,4408.495089625616,0.5504807692307693
POINT (-811.824901059456 1602.2205955346656),439,-811.824901059456,1602.2205955346656,0.5264423076923077
POINT (-1963.6936887840238 2638.832333563137),426,-1963.6936887840238,2638.832333563137,0.5108173076923077
POINT (-133.37526873220492 4111.11260730294),424,-133.37526873220492,4111.11260730294,0.5084134615384616
POINT (188.61397305386186 4195.410110193234),420,188.61397305386186,4195.410110193234,0.5036057692307693
POINT (-452.16093775275687 3989.9925773844875),414,-452.16093775275687,3989.9925773844875,0.4963942307692308
POINT (-2003.493736172495 5827.4979723630695),413,-2003.493736172495,5827.4979723630695,0.4951923076923077
POINT (-2841.796171433214 5863.950167970535),412,-2841.796171433214,5863.950167970535,0.49399038461538464
POINT (-2422.1170133244377 5851.209747752188),412,-2422.1170133244377,5851.209747752188,0.49399038461538464
POINT (349.0352898431787 4478.16622847438),408,349.0352898431787,4478.16622847438,0.4891826923076923
POINT (-1291.672228039491 3765.25407998194),408,-1291.672228039491,3765.25407998194,0.4891826923076923
POINT (-870.7563568970724 5575.685938302714),406,-870.7563568970724,5575.685938302714,0.48677884615384615
